,Franquicia,Títulos,Último título
0,Boston Celtics,18,2024
1,Los Angeles Lakers,17,2020
2,Golden State Warriors,7,2022
3,Chicago Bulls,6,1998
4,San Antonio Spurs,5,2014
5,Miami Heat,3,2013
6,Detroit Pistons,3,2004
7,Philadelphia 76ers,3,1983
8,Houston Rockets,2,1995
9,New York Knicks,2,1973
10,Milwaukee Bucks,2,2021
11,Toronto Raptors,1,2019
12,Cleveland Cavaliers,1,2016
13,Dallas Mavericks,1,2011
14,Oklahoma City Thunder,1,1979
15,Washington Wizards,1,1978
16,Portland Trail Blazers,1,1977
17,Atlanta Hawks,1,1958
18,Sacramento Kings,1,1951
19,Denver Nuggets,1,2023
20,Baltimore Bullets*,1,1948
